time, temp, ax, ay, az, gx, gy, gz, mx, my, mz,
3.315960e+00, 2.282107e+01, -2.873042e-01, -2.913743e+00, 8.614338e+00,1.977418e+00, 7.063921e-01, -6.885391e-01,-9.900000e-06, 4.650000e-06, -1.155000e-05,
3.419380e+00, 2.262938e+01, 4.046201e-01, 1.934515e+00, 1.348654e+01,3.151718e+00, -2.166340e-01, 2.358992e+00,-9.600000e-06, -1.470000e-05, -2.280000e-05,
3.522829e+00, 2.286899e+01, 1.958457e+00, 3.294421e+00, 9.528923e+00,4.692937e+00, -8.731976e-01, -9.296876e-01,-1.350000e-06, -3.015000e-05, -2.340000e-05,
3.626190e+00, 2.267730e+01, 9.217676e-01, 7.474698e+00, 6.299145e+00,3.883957e+00, 1.072778e+00, -2.166340e-01,-1.800000e-06, -5.220000e-05, -1.890000e-05,
3.729807e+00, 2.277315e+01, 1.146823e+00, 1.072124e+01, 1.999158e+00,8.731176e+00, 1.338708e+00, -3.709158e-01,-6.750000e-06, -7.935000e-05, 9.150000e-06,
3.833333e+00, 2.267730e+01, 5.746084e-01, 8.513781e+00, 1.165976e+00,6.826502e+00, -8.161746e-01, -1.931853e+00,-1.005000e-05, -8.265000e-05, 3.435000e-05,
3.936825e+00, 2.296484e+01, -7.302315e-01, 9.074024e-01, -8.434772e+00,1.945443e+00, -5.750261e-01, -1.038671e+00,-2.310000e-05, -5.955000e-05, 7.170000e-05,
4.040215e+00, 2.282107e+01, -1.410185e+00, 9.552865e-01, -1.078348e+01,9.347504e-01, 2.470107e-01, 1.374946e-01,-2.505000e-05, -5.085000e-05, 7.665000e-05,
4.143711e+00, 2.262938e+01, -9.337386e-01, 5.865794e-01, -1.079306e+01,1.068515e-01, 5.672986e-01, 1.394398e+00,-1.740000e-05, -5.265000e-05, 7.785000e-05,
4.247154e+00, 2.267730e+01, -1.235408e+00, 1.015142e+00, -9.054871e+00,-8.095397e+00, -2.804518e+00, 9.336846e-01,-2.100000e-05, -5.880000e-05, 7.440000e-05,
4.350553e+00, 2.286899e+01, -2.118868e+00, 6.605602e+00, -7.558495e+00,-4.855479e+00, 1.377611e-01, 4.615130e-01,-2.145000e-05, -7.545000e-05, 5.535000e-05,
4.454031e+00, 2.282107e+01, -2.456451e+00, 8.396465e+00, -4.304775e+00,-3.459749e+00, -2.520735e-01, -2.139694e-01,-2.250000e-05, -8.130000e-05, 3.180000e-05,
4.557469e+00, 2.282107e+01, -2.403778e+00, 8.815451e+00, 3.251326e+00,-3.694502e+00, 2.731241e-01, 2.232956e-01,-2.115000e-05, -7.725000e-05, 3.150000e-06,
4.660912e+00, 2.286899e+01, -1.821987e+00, 8.003816e+00, 6.986280e+00,-2.044567e+00, 1.324585e+00, 2.470107e-01,-2.040000e-05, -6.270000e-05, -1.500000e-05,
4.764364e+00, 2.301276e+01, -3.940856e+00, 6.495469e+00, 7.108385e+00,-4.203179e+00, 1.921195e-01, -3.424043e-01,-3.270000e-05, -5.265000e-05, -1.980000e-05,
4.867817e+00, 2.262938e+01, -3.809175e+00, 2.262521e+00, 1.006522e+01,-2.025381e+00, -2.558040e-02, -3.522634e-01,-3.000000e-05, -2.535000e-05, -2.625000e-05,
4.971303e+00, 2.282107e+01, -4.225766e+00, -1.249773e+00, 1.111149e+01,-2.193786e+00, 1.672319e+00, -4.929556e-02,-3.060000e-05, -7.650000e-06, -1.845000e-05,
5.074773e+00, 2.282107e+01, -3.687071e+00, -7.515399e+00, 4.826711e+00,-8.731443e+00, -1.429571e+00, -3.389403e-01,-3.525000e-05, 1.395000e-05, 1.095000e-05,
5.178189e+00, 2.282107e+01, -3.569755e+00, -9.179369e+00, 3.007117e+00,2.301170e+00, 2.101323e+00, 3.362757e-01,-3.315000e-05, 9.750000e-06, 5.685000e-05,
5.281662e+00, 2.282107e+01, -3.653552e+00, -6.849811e+00, -6.670246e+00,-3.450156e+00, 9.176968e-01, -1.093296e+00,-2.910000e-05, -4.800000e-06, 7.560000e-05,
5.385151e+00, 2.296484e+01, 1.484405e-01, -1.326388e+00, -1.364934e+01,-2.736836e+00, 2.315559e-01, -3.927657e-01,-1.470000e-05, -3.510000e-05, 8.295000e-05,
5.488951e+00, 2.296484e+01, -4.860229e-01, 6.129156e-01, -1.038605e+01,-3.015023e+00, 2.797856e-01, 6.381777e-01,-1.065000e-05, -5.055000e-05, 7.770000e-05,
5.592396e+00, 2.267730e+01, -1.036689e+00, 6.852205e+00, -7.405266e+00,-2.261734e+00, 7.034610e-02, -1.802885e+00,-5.850000e-06, -6.615000e-05, 6.585000e-05,
5.695769e+00, 2.301276e+01, 1.173159e+00, 1.092474e+01, -7.206547e-01,-8.731443e+00, 6.265332e+00, -7.053262e-01,-3.600000e-06, -7.770000e-05, 3.960000e-05,
5.799264e+00, 2.301276e+01, 5.123592e-01, 9.461885e+00, 1.431733e+00,-1.489525e+00, -2.519403e+00, -1.239583e+00,-1.290000e-05, -7.050000e-05, -5.700000e-06,
5.902702e+00, 2.267730e+01, -8.595184e-01, 1.097502e+01, 1.771709e-01,-2.480766e+00, 3.408855e+00, 1.029078e+00,-1.215000e-05, -6.480000e-05, -1.140000e-05,
6.006089e+00, 2.301276e+01, -1.596933e+00, 6.715736e+00, 6.909666e+00,-2.913234e+00, 1.099957e+00, -1.197216e+00,-1.680000e-05, -5.220000e-05, -2.190000e-05,
6.109468e+00, 2.286899e+01, -1.865083e+00, 3.976769e+00, 8.212112e+00,-2.894049e+00, -4.609801e-01, -2.196184e+00,-2.100000e-05, -2.880000e-05, -2.550000e-05,
6.212969e+00, 2.286899e+01, -2.078167e+00, 9.720459e-01, 8.561665e+00,-1.221731e+00, -6.837427e-01, -7.311731e-01,-1.740000e-05, -2.160000e-05, -2.595000e-05,
6.317473e+00, 2.301276e+01, -1.915361e-01, 3.184288e-01, 1.117853e+01,3.685709e+00, -5.145391e-01, 2.290245e+00,-1.080000e-05, -2.040000e-05, -2.325000e-05,
6.421324e+00, 2.286899e+01, 7.709329e-01, 3.114856e+00, 7.728483e+00,6.813446e-01, -5.683645e-01, 3.381409e-01,-1.500000e-06, -3.255000e-05, -2.280000e-05,
6.524786e+00, 2.296484e+01, -9.481039e-01, 2.746149e+00, 7.726089e+00,3.256438e+00, -1.097825e-01, 1.977152e-01,-7.500000e-06, -3.840000e-05, -2.340000e-05,
6.628197e+00, 2.282107e+01, 3.160346e-01, 7.357382e+00, 9.600749e+00,8.262469e+00, -4.581822e+00, -1.121541e+00,-2.550000e-06, -4.950000e-05, -1.920000e-05,
6.731658e+00, 2.286899e+01, 8.643068e-01, 9.634267e+00, 1.774103e+00,2.532459e+00, -7.778040e-01, -4.777672e-01,2.700000e-06, -7.590000e-05, 1.440000e-05,
6.835135e+00, 2.286899e+01, -6.344634e-01, 1.020648e+01, -4.967968e+00,3.420313e+00, -1.095427e+00, -1.188689e+00,-3.000000e-07, -7.770000e-05, 4.080000e-05,
6.938524e+00, 2.277315e+01, -1.350330e+00, 9.761160e+00, -5.030218e+00,8.731176e+00, -2.747228e-01, 3.469875e+00,1.500000e-07, -6.915000e-05, 5.970000e-05,
7.042006e+00, 2.296484e+01, -4.094085e-01, 1.012747e+00, 2.920926e-01,2.502349e+00, 4.635648e+00, 6.864074e-01,8.100000e-06, -4.860000e-05, 7.020000e-05,
7.145396e+00, 2.296484e+01, 1.412579e-01, -3.845088e+00, -1.009635e+01,2.421345e+00, 7.807351e-02, 2.424809e-02,5.400000e-06, -2.550000e-05, 7.575000e-05,
